player_id,player_name,first_name,last_name,birth_date,school,country,height_inches,weight_lbs,position,draft_year,draft_round,draft_number,from_year,to_year
920,A.C. Green,A.C.,Green,1963-10-04,Oregon State,USA,81.0,225.0,F,1985.0,1.0,23.0,1985.0,2000.0
1920,A.J. Bramlett,A.J.,Bramlett,1977-01-10,Arizona,USA,82.0,227.0,C,1999.0,2.0,39.0,1999.0,1999.0
76672,A.J. English,A.J.,English,1967-07-11,Virginia Union,USA,75.0,175.0,G,1990.0,2.0,37.0,1990.0,1991.0
2062,A.J. Guyton,A.J.,Guyton,1978-02-12,Indiana,USA,74.0,185.0,G,2000.0,2.0,32.0,2000.0,2002.0
1630639,A.J. Lawson,A.J.,Lawson,2000-07-15,South Carolina,Canada,78.0,179.0,G,-1.0,-1.0,-1.0,2022.0,
78627,A.J. Wynder,A.J.,Wynder,1964-09-11,Fairfield,USA,74.0,180.0,G,-1.0,-1.0,-1.0,1990.0,1990.0
1631260,AJ Green,AJ,Green,1999-09-27,Northern Iowa,USA,76.0,190.0,G,-1.0,-1.0,-1.0,2022.0,
1631100,AJ Griffin,AJ,Griffin,2003-08-25,Duke,USA,78.0,220.0,F,2022.0,1.0,16.0,2022.0,2023.0
1627773,AJ Hammons,AJ,Hammons,1992-08-27,Purdue,USA,84.0,260.0,C,2016.0,2.0,46.0,2016.0,2016.0
1642358,AJ Johnson,AJ,Johnson,2004-12-01,Illawarra,USA,77.0,160.0,G,2024.0,1.0,23.0,2024.0,
201985,AJ Price,AJ,Price,1986-10-07,Connecticut,USA,74.0,195.0,G,2009.0,2.0,52.0,2009.0,2014.0
1630603,Aamir Simms,Aamir,Simms,1999-02-17,Clemson,USA,,,,-1.0,-1.0,-1.0,,
201166,Aaron Brooks,Aaron,Brooks,1985-01-14,Oregon,USA,72.0,161.0,G,2007.0,1.0,26.0,2007.0,2017.0
203905,Aaron Craft,Aaron,Craft,,,,,,,,,,,
1642401,Aaron Estrada,Aaron,Estrada,2001-02-03,Alabama,USA,,,,-1.0,-1.0,-1.0,,
203932,Aaron Gordon,Aaron,Gordon,1995-09-16,Arizona,USA,80.0,235.0,F,2014.0,1.0,4.0,2014.0,
201189,Aaron Gray,Aaron,Gray,1984-12-07,Pittsburgh,USA,84.0,270.0,C,2007.0,2.0,49.0,2007.0,2013.0
1626151,Aaron Harrison,Aaron,Harrison,1994-10-28,Kentucky,USA,78.0,210.0,G,-1.0,-1.0,-1.0,2015.0,2017.0
1630565,Aaron Henry,Aaron,Henry,1999-08-30,Michigan State,USA,77.0,210.0,F,-1.0,-1.0,-1.0,2021.0,2021.0
1628988,Aaron Holiday,Aaron,Holiday,1996-09-30,UCLA,USA,72.0,185.0,G,2018.0,1.0,23.0,2018.0,
1628935,Aaron Jackson,Aaron,Jackson,1986-05-06,Duquesne,USA,75.0,183.0,G,-1.0,-1.0,-1.0,2017.0,2017.0
42577,Aaron Jackson,Aaron,Jackson,1900-01-01,,,,,,-1.0,-1.0,-1.0,2013.0,2013.0
77115,Aaron James,Aaron,James,1952-10-05,Grambling,USA,80.0,210.0,F,1974.0,2.0,28.0,1974.0,1978.0
64110,Aaron Lee Jackson,Aaron Lee,Jackson,,,,,,,,,,,
243,Aaron McKie,Aaron,McKie,1972-10-02,Temple,USA,77.0,209.0,G,1994.0,1.0,17.0,1994.0,2006.0
101223,Aaron Miles,Aaron,Miles,1983-04-13,Kansas,USA,73.0,190.0,G,-1.0,-1.0,-1.0,2005.0,2005.0
1630174,Aaron Nesmith,Aaron,Nesmith,1999-10-16,Vanderbilt,USA,77.0,215.0,GF,2020.0,1.0,14.0,2020.0,
78286,Aaron Swinson,Aaron,Swinson,1970-12-21,Auburn,USA,77.0,230.0,F,-1.0,-1.0,-1.0,1994.0,1994.0
1630598,Aaron Wiggins,Aaron,Wiggins,1999-01-02,Maryland,USA,77.0,190.0,G,2021.0,2.0,55.0,2021.0,
1425,Aaron Williams,Aaron,Williams,1971-10-02,Xavier,USA,81.0,235.0,FC,-1.0,-1.0,-1.0,1993.0,2007.0
1627846,Abdel Nader,Abdel,Nader,1993-09-25,Iowa State,Egypt,77.0,225.0,F,2016.0,2.0,58.0,2017.0,2021.0
203583,Abdul Gaddy,Abdul,Gaddy,1992-01-26,Washington,USA,,,,2013.0,0.0,0.0,,
77126,Abdul Jeelani,Abdul,Jeelani,1954-02-10,Wisconsin-Parkside,USA,80.0,210.0,F,-1.0,-1.0,-1.0,1979.0,1980.0
1642846,Ace Bailey,Ace,Bailey,2006-08-13,Rutgers,USA,81.0,200.0,F,2025.0,1.0,5.0,2025.0,
768,Acie Earl,Acie,Earl,1970-06-23,Iowa,USA,83.0,240.0,FC,1993.0,1.0,19.0,1993.0,1996.0
201151,Acie Law,Acie,Law,1985-01-25,Texas A&M,USA,75.0,202.0,G,2007.0,1.0,11.0,2007.0,2010.0
101250,Adam Chubb,Adam,Chubb,,,,,,,,,,,
64068,Adam Doyle,Adam,Doyle,,,,,,,,,,,
1641745,Adam Flagler,Adam,Flagler,1999-12-01,Baylor,USA,75.0,180.0,G,-1.0,-1.0,-1.0,2023.0,2024.0
45842,Adam Gibson,Adam,Gibson,1900-01-01,,,,,,-1.0,-1.0,-1.0,2017.0,2017.0
201183,Adam Haluska,Adam,Haluska,,,,,,,,,,,
2492,Adam Harrington,Adam,Harrington,1980-07-05,Auburn,USA,77.0,200.0,G,-1.0,-1.0,-1.0,2002.0,2002.0
