team_season_key,team_id,season_year,team_full_name,team_city,team_name,team_abbrev,league,season_founded,season_active_till
9001_1947,9001,1947,Pittsburgh Ironmen,Pittsburgh,Ironmen,PIT  ,BAA,1946,1948
9003_1947,9003,1947,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1949,9003,1949,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1950,9003,1950,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1951,9003,1951,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1952,9003,1952,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1953,9003,1953,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1954,9003,1954,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1955,9003,1955,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1956,9003,1956,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1957,9003,1957,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1958,9003,1958,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1959,9003,1959,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1960,9003,1960,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1961,9003,1961,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1962,9003,1962,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1963,9003,1963,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1964,9003,1964,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1965,9003,1965,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1966,9003,1966,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1967,9003,1967,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1968,9003,1968,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1969,9003,1969,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1970,9003,1970,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1971,9003,1971,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1972,9003,1972,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1973,9003,1973,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1974,9003,1974,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1975,9003,1975,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1976,9003,1976,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1977,9003,1977,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1978,9003,1978,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1979,9003,1979,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1980,9003,1980,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1981,9003,1981,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1982,9003,1982,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1983,9003,1983,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1984,9003,1984,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1985,9003,1985,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1986,9003,1986,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1987,9003,1987,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1988,9003,1988,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1989,9003,1989,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1990,9003,1990,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1991,9003,1991,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1992,9003,1992,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1993,9003,1993,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1994,9003,1994,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1995,9003,1995,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1996,9003,1996,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1997,9003,1997,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1998,9003,1998,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_1999,9003,1999,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2000,9003,2000,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2001,9003,2001,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2002,9003,2002,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2003,9003,2003,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2004,9003,2004,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2005,9003,2005,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2006,9003,2006,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2007,9003,2007,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2008,9003,2008,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2009,9003,2009,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2010,9003,2010,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2011,9003,2011,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2012,9003,2012,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2013,9003,2013,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2014,9003,2014,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2015,9003,2015,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2016,9003,2016,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2017,9003,2017,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2018,9003,2018,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2019,9003,2019,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2020,9003,2020,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2021,9003,2021,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2022,9003,2022,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2023,9003,2023,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2024,9003,2024,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2025,9003,2025,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9003_2026,9003,2026,Siena Montepaschi Siena,Siena,Montepaschi Siena,MPS  ,LBA,1934,2100
9004_1947,9004,1947,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1949,9004,1949,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1950,9004,1950,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
